hid,name,longitude,latitude,distance_km,checkin_date,最早预定日期,最晚预定日期,search_quantity,try_quantity,order_quantity
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/6/5,20260119,20260606,7454,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/6/9,20260119,20260612,7506,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/6/11,20260119,20260611,7418,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/27,20260119,20260528,6916,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/9,20260119,20260208,469,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/4/24,20260119,20260425,8041,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/10,20260119,20260510,9758,2,1
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/15,20260119,20260516,8181,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/18,20260119,20260208,449,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/15,20260119,20260208,440,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/6/4,20260119,20260208,218,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/6/14,20260119,20260208,234,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/6/15,20260119,20260208,291,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/4/27,20260119,20260208,607,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/8,20260119,20260208,442,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/12,20260119,20260208,471,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/4/28,20260119,20260208,618,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/24,20260119,20260208,345,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/6/20,20260119,20260208,186,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/28,20260119,20260208,276,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/4/26,20260119,20260208,715,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/1,20260119,20260208,1544,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/11,20260119,20260208,493,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/6/21,20260121,20260208,122,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/30,20260119,20260208,263,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/4/22,20260119,20260208,1823,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/22,20260119,20260208,385,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/6/17,20260119,20260618,8779,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/6/1,20260119,20260208,338,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/6/7,20260119,20260208,202,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/6/9,20260119,20260208,199,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/6,20260119,20260506,8846,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/6/8,20260119,20260208,241,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/4/20,20260119,20260421,8896,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/21,20260119,20260208,365,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/6/3,20260119,20260208,208,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/6/2,20260119,20260208,266,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/4/20,20260119,20260208,1090,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/7,20260119,20260507,9124,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/16,20260119,20260208,367,\N,\N
